Title;Description;Asset type;Tags
B&R - ACOPOStrak 180° Compact Curve - 24 ;With the new 180° compact curve for ACOPOStrak, B&R enables a new level of high-density production.;Photos;SPS 2023,segment,adaptive manufacturing,180° compact curve,Compact curve,curve segment,B&R,packaging industry
ABB Employee in Sweden, Cewe-Control;Employee in Sweden, Cewe-ControlNov 2006;Photos;employee,cewe,control,2006,Sweden,cewe control,work
Employer Branding_1;"Images to be used for Employer Branding & HR Marketing purposes (digital use; batch 1)";Photos;Employer Branding,marketing,human resources,Employer Branding campaign,HR,marketing materials,ABB employer branding
AdobeStock_648359167;Concern for the environmental friendliness of electricity generation. Environmentally friendly production of electricity is an important component of modern civilization.;Photos;outdoors,horizontal,power supply,electricity,bow,force,waterfall,cement,nature,station,barrage,energy,reflection,sustainable,hydroelectric,construction,factory,supply,climate change,water,canada,power plant,hydro,color image,alberta,built,substation,engineering,environmental,technology,mist,stream,infrastructure,reservoir,renewable energy,spray,dam,transmission,sunlight,power station,Adobe Stock,power,flow,flood,steel,industrial,photography,generator,renewable,turbine,barrier
MME xGuard Family - 32;;Photos;portable gas leak detection,leak,MME xGuard Family,process automation,PAEN,MicroGuard,gas,xguard family,MME,PAMA,portable,PA,detection,Family,measurement made easy
Digital Powertrain Pumps 2 - NEMA Motor;Digital powertrain pumps image featuring NEMA motors;Photos;Condition Monitoring,Baldor-Reliance,drives and motors,digital Powertrain,ABB Electrical Motors Factory,NEMA,Drives,Smart Sensor,pump
AdobeStock_58582237;Underground tunnel for the subway leading deep down.;Photos;rings trail,transportation,transport,rail,subway,blue,station,dark,tube,metro,modern,urban,tunnel,lines,light,construction,transit,metal,deep,background,curve,underground,speed,cable,railroad,Adobe Stock,fast,train,track,railway,industrial,line,rapid
AdobeStock_421677844;Group of professional asian business meeting and discussing strategy with new startup project.Creative business people video conference online meeting with business colleagues team in modern office.Teamwork concept;Photos;teamwork,meeting,quarantine,management,marketing,Conversation,design,casual,man,success,talk,workplace,office,colleagues,project,strategy,computer,communication,company,interview,Team,coronavirus,network,Adult,digital,People,Group,creative,working,colleague,research,plan,technology,Video,brainstorm,analysis,hipster,manager,Asia,online,chat,Adobe Stock,work,Business,Finance,startup,asian,laptop,presentation,conference,corporate
08 - Morten Wierod;"President and Chief Executive Officer,
Member of the Group Executive Committee of ABB Ltd";Photos;member,Morten Wierod,business portrait,EC,portrait,Executive Committee,official,executive committe,official portrait
ELSE Dalmine 8;;Photos;electrification service,man,ELSE,woman,factory,EL,electrification,service,EL service,safety wear,people,female,male
B&R - Codian TD5_product image;Delta robot from the Codian product line.;Photos;codian robot,Open robot mechanics,codian,B&R,delta robot
B&R - Codian TD5_product image;Delta robot from the Codian product line.;Photos;codian robot,Open robot mechanics,codian,B&R,delta robot
AdobeStock_593289515;A train travelling across a bridge in a rural region.;Photos;train crossing bridge,transportation,fast train,aerial view,israel train,israel,train bridge,red train,rural,farmlands,Adobe Stock,train,jerusalem tel aviv train
ABB EB PAUL SMART HOME 1;;Photos;Employer Branding,e-commerce,suit,man,Paul,bright,sales,Service,airport,watch,China,Product manager,standing,Global Campaign,technology,Employer Branding campaign,ABB People,Smart Home,rev_MK,genuine,Smiling,checking
David Bjerhag - 11;David Bjerhag, Global Business Line Manager for Large Motors and Generators;Photos;business portrait,David Bjerhag,motion,Global Business Line Manager,Bjerhag,portrait,business,official portrait
Business people wearing hardhats standing near railing outside factory;;Photos;teamwork,outdoors,hard hat,man,hard,woman,wireless,industrial building,colleagues,businessman,communication,factory,outside,railing,Wireless Technology,business man,working,colleague,standing,technology,helmet,hat,executive,exterior,business,successor,building,Adobe Stock,businesswoman,team,business people,business partner,people,industrial,hardhats,day,female,industry,male,laptop
ABB EL Cont.line - Lady interacting w. control panel touchsscreen 19;"3ADR310787, 1, en_US_ABB_EL_Cont.line,
Sitesing 23-205, CEWE Control";Photos;control panel,ABB EL,woman,Sitesing 23-205,CEWE Control,interacting,touchscreen,technology,person,industrial,female
ABB EB ANNA HR 2;;Photos;teamwork,Employer Branding,talking,screen,indoor,bright,computer,anna,Product manager,three people,standing,Global Campaign,Employer Branding campaign,ABB People,Smiling
AdobeStock_285222018;Crew of fishermen open trawl net with caugth fish on board of commercial fishing ship.;Photos;fisherman,seine,vessel,fishing,occupation,job,man,worker,trawler,boat,sailing,fishery,production,ship,food,dragger,trawl,catch,business,fish,Adobe Stock,trawling,AdobeStock,commercial,industry,net,male
Engineer in workshop;Engineer in white helmet in industrial space;Photos;automated,technician,site,man,hard,hardhat,workwear,workplace,worker,inspector,serviceman,construction,factory,white,control,production,portrait,workshop,engineering,professional,operative,technology,mechanic,orange,helmet,manufacturing,smile,safety,person,workman,manager,engineer,business,Adobe Stock,instrument,work,steel,industrial,repairman,equipment,heavy,industry,male,machine,inspection
EL Service - People image - 23;"ABB Electrification Service.
Collection of photos, images and graphics from Electrification Service that can be used for internal and/or external purposes.";Photos;electrification service,ELSE,EL,Australia,electrification,service,EL service,people
AdobeStock_144864535;Friends walking in shopping mall.;Photos;mall,shopping,fashion,store,woman,indoor,shop,center,customer,walking,lifestyle,sale,carry,department,consumerism,bag,Adobe Stock,two,people,friends,female
Bulk carrier straight - Marine;Marine applications specific vessel images;Photos;vessel,motion,Marine,System Drives,image,application image
Jewish man lighting candle in menorah;Close up of Jewish man lighting candle in menorah while celebrating Hanukkah with his wife.;Photos;igniting,kosher,candle,holiday,man,menorah,candleholder,Judaism,woman,Jewish,Hanukkah,candlelight,home,adult,tradition,couple,jew,cultures,celebrate,close up,Adobe Stock,people,religion
MOLM Västerås Factory Manufacturing - 34;Images from the MOLM Västerås factory photoshoot.;Photos;ABB employee,AMS,MOLM,AMS synchronous motor,worker,factory worker,factory,Västerås,synchronous motor,working,engineer,ABB Sweden,ABB Machines,people
Miami skyline ;Panoramic view of the Miami skyline from the bay.;Photos;sea,beach,structure,ocean,miami,cityscape,blue,front,office,real,modern,urban,travel,water,highrise,panorama,view,community,metropolis,inlet,metropolitan,panoramic,sunny,morning,daylight,tall,exterior,architecture,destinations,building,skyline,Adobe Stock,clouds,sun,skyscraper,scene,mid-town,city
Smart Power India 12;Smart Power India Nelamangala location;Photos;Nelamangala,smart power,Power,Electrification,Smart,india
Electrification Key Visual | Smart;;Photos;
Rectifier from 1937;Rectifier;Photos;1937,rectifier,BBC,historical,black and white
AdobeStock_474676722;Successful businesswoman in stylish suit working on top floor office overlooking night city. ;Photos;marketing,inspiration,success,entrepreneur,finance,woman,window,successful,office,top,computer,company,evening,portrait,digital,professional,standing,technology,stylish,career,investment,succeed,person,confident,business,Adobe Stock,businesswoman,work,owner,AdobeStock,motivation,female,city,photo,corporate
AdobeStock_124464399;;Photos;smart,technician,future,management,screen,software,process,factory,production,internet,digital,monitoring,system,engineering,technology,automation,iot,ar,hand,maintenance,application,augmented,industrial,holding,industry,tablet,machine
Select I/O and Ethernet I/O Fieldkit with xStream Commissioning;;Photos;xstream,process automation,control systems,fieldkit,PAPI,ethernet,commissioning,PA
BBC share ;First BBC share, 1900.;Photos;firs BBC share,document,historical document,CH-COM,1900,historical image,Switzerland
AdobeStock_318175115;Focused young african businessman wear headphones study online watching webinar podcast on laptop listening learning education course conference calling make notes sit at work desk, elearning concept;Photos;call,African-American,language,class,studying,job,training,man,teacher,webinar,lesson,screen,PAEN,student,office,worker,software,home,ethnicity,interpreter,computer,communication,education,course,watch,black,pc,write,internet,digital,People,learn,Process automation,app,professional,technology,Looking,Video,distance,headphone,webcam,person,tutor,online,chat,Adobe Stock,work,Business,Businessman,PA,laptop,teaching,Digital Solutions,conference,one
ABB EB PASCAL DUAL VOLATAGE 1;;Photos;teamwork,Employer Branding,transportation,Service,not-edited2018,pascal,Product manager,dual voltage,Global Campaign,Employer Branding campaign,ABB People,online,rev_AS,train,Switzerland,Allegra
ABBOERLIKON SIDE 50C1465 ret;;Photos;zurich,progress,Oerlikon,headquarter,sideshots,HQ,Switzerland
ABB_Living_Space_Experience_Showroom_Warsaw_002;Showroom ABB Living Space Experience Warsaw;Photos;design,home,buildings,interiordesign,smarthome,interior,smartbuildings
ABB EB ANNA HR 7;;Photos;teamwork,Employer Branding,Autumn,Woman,moving,anna,tram,Product manager,Sitting,Global Campaign,Employer Branding campaign,ABB People,Looking,jacket
MOIM Vaasa Plant Photoshoot - 20;Images from the Vaasa Plant Photoshoot;Photos;Finland,LV,Vaasa,IEC,motors,IEC low voltage motors,IEC LV motors,MOIM,low voltage motors,low voltage
ABB Future of work 2400;;Photos;Employer Branding,man,indoor,future of work,glasses,Employer Branding campaign,Employee,Looking,day,checking
Poultry farming;;Photos;process automation,food,beverage,PAPI,food and beverage,farming,poultry farming,PA,poultry
B&R - Jason-Li 2025 - 18;Regional Managing Director of Greater China region.;Photos;business portrait,Jason-Li,management,office,interview,portrait,business portait,B&R,business people,B&R Social Media,conversation,official portrait
GettyImages_146601285;;Photos;plant,GettyImages,Getty Images,petrochemical,gas,petrochemical plant,gas and petrochemicals,oil,industry,chemical
GettyImages_1051266638;Photo Taken In Koschendorf, Germany;Photos;sea,horizontal,GettyImages,Getty Images,oil platform,water,drilling platform,image,Germany,drilling
AdobeStock_501369230;Crawler excavator during earthmoving works on construction site at sunset.;Photos;machinery,outdoors,construction site,site,shovel,rock,scenic,unloading,sky,mover,bulldozer,vertical,excavator,digger,earth,dig,construction,moving,loader,scoop,engineering,sunset,excavation,vehicle,roadwork,outdoor,soil,track-type,Adobe Stock,hydraulic,work,industrial,equipment,heavy,industry,machine,crawler,earthmover
GettyImages - 1343835422;Refinery engineers taking system data after system audit.;Photos;audit,technician,hard hat,GettyImages,sudit,rafinery,man,Getty Images,worker,data,construction,gas,oil,system,helmet,safety,person,offshore,engineer,safety wear,business,work,inspect,industry,male
B&R - AdobeStock 691449604;B&R Stock Material;Photos;sea,import,vessel,global,cargo port,terminal,crane,transportation,logistic,ocean,transport,aerial view,unloading,port,logistics,cargo,boat,delivery,marine,shipping,water,economy,commerce,distribution,ship,truck,international,loading,export,ships,technology,cargo ship,harbor,storage,maritime,B&R,nautical,container ship,business,Adobe Stock,shipyard,warehouse,container,industrial,freight,commercial,industry,express,global business,goods,bulk,trade
Employer Branding Photoshoot - 13;;Photos;Cracow,branding,Krakow,employer branding,ABB,ABB Poland,Poland,photoshoot,employer
B&R - Usability accelerates development with ACOPOStrak;The Convoy feature allows groups of track system shuttles to be treated as units. All the necessary calculations are handled in the background to prevent traffic jams, collisions or separation of units.;Photos;Convoy,B&R,ACOPOStrak convoy feature
B&R - Value Provider Program Type System Integrator;;Photos;system,B&R,value provider,integrator,value provider program,system integrator
EVP early talent - main photo digital 1;Scroll down to download print version.;Photos;employer branding,marketing,early talents,human resources,HR,employer branding campaign,people working together,marketing materials,ABB employer branding,people working
EVP early talent - main photo digital 1;Scroll down to download print version.;Photos;employer branding,marketing,early talents,human resources,HR,employer branding campaign,people working together,marketing materials,ABB employer branding,people working
GettyImages_108176231;;Photos;GettyImages,Getty Images,water dam,water,water reservoir,reservoir,dam,people,two people
17 Adrian Guggisberg - ABB logo;Distribution Solutions Division President, Adrian Guggisberg;Photos;business portrait,management,Adrian Guggisberg,portrait,functional imagery,president,Distribution Solutions,ABB logo
B&R - Adaptive manufacturing technologies - 12;;Photos;unit,adaptive manufacturing,technologies,technology,manufacturing,demo unit,demo,B&R
Erich Labuda - 1;Division President, Motion Services;Photos;Erich Labuda,business portrait,motion,management,MO,vertical,portrait,professional,functional imagery,business,official portrait
Analia Troncoso - 2;Global Head of Strategy, Business Development, Sustainability and Marketing, ABB Motion;Photos;business portrait,management,Analia Troncoso,MO,ABB Motion,portrait,functional imagery,business,official portrait
AdobeStock_254487805;;Photos,3D;machinery,automated,display,robot,using,technician,design,man,engine,development,worker,manufactory,programming,modern,Woman,cad,3D,innovation,robotic arm,computer,factory,prototyping,Construction,Designer,People,graphics,notebook,automatic,engineering,professional,technology,manufacturing,cnc,desk,blueprint,facility,hand,engineer,Adobe Stock,manufacturing plant,work,industrial,holding,female,Production,industry,male,machine,laptop,setup,Workshop
AdobeStock_288494874;Aerial view water treatment tank with waste water.;Photos;recirculation,black water,pollution,plant,blackwater,aerial view,tank,station,environment,effluent,process,recycling,purity,purification,recycled,filters,separation,cleaning,liquid,processing,factory,recycle,waste,sewage,water,sludge,Construction,sewerage,round,filtration,system,environmental,garbage,technology,sedimentation,dirty,storage,facility,ecology,clean,conservation,clarifier,ecosystem,Adobe Stock,purified,industrial,circle,treatment,green,removal,industry,circular
David Bjerhag - 7;David Bjerhag, Global Business Line Manager for Large Motors and Generators;Photos;business portrait,David Bjerhag,motion,Global Business Line Manager,Bjerhag,portrait,business,official portrait
Horizontal end suction multistage pump;"Pump type: horizontal end suction multistage pump
Typical application: pressure boosting
Typical segment: water, HVACR, F&B, Industry
Typical power range: 0,55-15kW 2 pole
Actual motor: 2,2kW 2 pole 

Additional info:
The pump is for high pressure and low volume. The maximum pressure depends on the number of impeller stages. Compact solution with low building height requirements. Flange type depends on pump design/manufacturer.";Photos;Horizontal end suction multistage pump,pump application,F&B,water,HVACR,food and beverage,pump,industry
Baden & Turgi Photoshoot 28;;Photos;motion,factory,Baden,photoshoot,Turgi,Switzerland
ABB Bizzabo Header image package;This package consists of images for Bizzabo header section.;Photos;image package,bizzabo,online event,header,package
Employer Branding_Sustainability_4;"Images to be used for Employer Branding and HR Marketing purposes (digital use; batch 3)";Photos;Employer Branding,marketing,Employer Branding campaign,marketing materials,sustainability,ABB employer branding
ABB_EB_APALA_R&D_15;Corporate research for wireless communication, Bengaluru, India;Photos;teamwork,Employer Branding,meeting,R&D,wireless communication,collaboration,ABB research scientist,bangalore,presenting,wireless,office,Woman,innovation,Business woman,HR Manager,scientist,women,research,Global Campaign,Employer Branding campaign,ABB People,HR,Apala,researcher
Industry - Metals 1;Iron molten metal pouring in sand mold, green sand process.;Photos;molten metal,molten,heat,mold,dangerous,hard,automotive,manual,fumes,fire,toxic,Pattern,flame,temperature,metals,liquid,factory,flash,metal,composition,metallurgy,founder,hot,engineering,Quality,Cast Iron,technology,high,Light,iron manufacturing,manufacturing,heavy industry,sand,pouring,melt,part,Adobe Stock,ladle,industrial,furnace,ferrous,iron,casting,Foundry,heavy,green sand,industry,chemical,burn
B&R - APC mobile certified for ISOBUS;"Image of Aerial tractor mowing weeds in field downward shot from drone_
AdobeStock_626708535";Photos;harvesting,tractor,farmland,field,Innovations Brochure 2024,Fields,mobile automation,APC mobile,certified,B&R,APC,ISOBUS,AdobeStock,Ruggedized IO,harvester,mobile
B&R - APC mobile certified for ISOBUS;"Image of Aerial tractor mowing weeds in field downward shot from drone_
AdobeStock_626708535";Photos;harvesting,tractor,farmland,field,Innovations Brochure 2024,Fields,mobile automation,APC mobile,certified,B&R,APC,ISOBUS,AdobeStock,Ruggedized IO,harvester,mobile
AdobeStock_621163707;An engineering  inspected the structure road construction work at road construction. Supervise new road construction. Civil Engineer at expressway under construction.;Photos;machinery,outdoors,architect,structure,crane,hard hat,site,management,cement,man,station,contractor,employee,development,road,worker,project,construction,civil,metal,control,expressway,concrete,engineering,professional,technology,helmet,supervising,safety,person,manager,engineer,surveyor,architecture,business,building,Adobe Stock,survey,work,steel,industrial,equipment,commercial,industry,inspection,checking,corporate
Segments - Dairy 3;Milk production at the factory, bottling. AI generated.;Photos;robotic,automated,generative ai,plant,fresh,generative,ai,bottles,glass,process,milk,artificial intelligence,temperature,liquid,factory,white,background,food,beverage,automatic,filling,conveyor,bottling,technology,package,manufacturing,laboratory,bottle,close up,dairy,Adobe Stock,packing,industry segments,sterilized,industrial,segments,equipment,commercial,industry,machine,product,line,canisters
AdobeStock_626398857;Business woman employee or student working on laptop in corporate office. Professional businesswoman company worker using computer, typing, elearning sitting at desk.;Photos;busy,university,marketing,website,entrepreneur,webinar,employee,woman,tech,window,workplace,student,office,worker,adult,sales,computer,education,pc,manage,digital,hybrid,typing,professional,technology,desk,person,executive,manager,online,business,elearning,Adobe Stock,businesswoman,people,work,female,laptop,corporate
AdobeStock_240991962;Aerial top view water treatment plant, Aerial top view recirculation solid contact clarifier sedimentation tank.;Photos;recirculation,pollution,plant,solid,aerial view,tank,station,PAEN,environment,effluent,process,recycling,purity,purification,top,Skyline,recycled,separation,liquid,factory,recycle,nobody,waste,sewage,water,sludge,round,river,Process automation,system,wards,view,environmental,City,technology,sedimentation,dirty,storage,reservoir,facility,ecology,clean,conservation,clarifier,wastewater,Adobe Stock,purified,industrial,circle,PA,treatment,green,industry,circular
Betatron;Betatron, a radiation unit for hospitals, 1981.;Photos;1981,CH-COM,radiation unit,historical image,hospital equipment,Betatron,Switzerland
GettyImages - 2025356484;Specialists working in a research center, using computer to develope on advanced software, develop artificial intelligence interface and cloud computing base.;Photos;GettyImages,IT,monitor,development,screen,Getty Images,woman,analyzing,software,data,modern,artificial intelligence,glasses,computer,developer,pc,database,internet,network,working,professional,research,technology,connection,cloud,research center,person,cloud computing,coding,business,programmer,specialist,work,female,laptop,code
MOLM Västerås Factory Manufacturing - 20;Images from the MOLM Västerås factory photoshoot.;Photos;ABB employee,AMS,MOLM,AMS synchronous motor,worker,factory,Västerås,synchronous motor,working,engineer,ABB Sweden,ABB Machines,people,Factory worker
MOIM Vaasa Plant Photoshoot - 28;Images from the Vaasa Plant Photoshoot;Photos;Finland,LV,Vaasa,IEC,motors,IEC low voltage motors,IEC LV motors,MOIM,low voltage motors,low voltage
B&R - metal factory;Man is working at metal factory, he is welding a piece of rail using special tools.;Photos;mask,spark,craftsman,heat,tool,manufacture,welding,dangerous,protection,technical,vision systems,workwear,manual,workplace,worker,repair,adult,grinding,light,construction,factory,flash,metal,production,Innovations Brochure 2024,vision,metalwork,skill,engineering,welder,technology,trained,manufacturing,safety,B&R,focused,cut,work,steel,craft,industrial,iron,AdobeStock,weld,equipment,industry,deep learning
B&R - APC3200 cyber-security;For web use only.;Photos;APC3200,web,cyber security,B&R,APC,device,ABB B&R,product
Vaasa City;;Photos;landscape,Finland,bright,vaasa,City,day
B&R - ACOPOS P3 EnDat 3 800x534px - 81;Innovations 2025 - image material Q1;Photos;product promotion,ACOPOS P3,800x534px,EnDat 3,product updates,key visuals,innovations 2025,B&R,Features
B&R - pills during production and packing process;Macro Shot of Pink Pills During Production and Packing Process on Modern Pharmaceutical Factory. Medical Drug Manufacturing.;Photos;cure,pink,Healthcare,medicament,Capsule,pharmacology,Industrial,Factory,substance,Medical,Research,Health,lab,Drug,pharmaceutical,vision systems,Packing,health Care,process,Development,Industry,Line,Innovations Brochure 2024,vision,making,Macro,laboratory,B&R,closeup,Manufacturing,mass,Pill,Medicine,Science,AdobeStock,treatment,Production,machine,chemical,Pharmacy,Medication,deep learning
B&R - Susana Gonzalez 2025 - 03;"Susana Gonzalez, 
Chief Sales Officer Machine Automation, B&R (A Member of the ABB Group)";Photos;business portrait,portrait,Machine automation,B&R,Susana Gonzalez,B&R Eggelsberg,business people,people,ABB B&R,Management,official portrait
Erich Labuda - 6;;Photos;Erich Labuda,head of business development,head of strategy,head of marketing,portrait,Labuda,business portait,functional imagery,business,head of,official portrait
ABB Campus Mannheim - 2;;Photos;ABB,Mannheim,location,Campus,ABB building,Germany,building
ABB Bizzabo People theme package;This package consists of images for People theme.;Photos;image package,bizzabo,online event,People,package
Automated warehouse image used in roll-ups;Automated warehouse image is used in DM campaign.;Photos;warehouse automation,image,warehouse,automated warehouse
AdobeStock_602912226;;Photos;global,solar roof,technician,future,electricity,occupation,electrician,nature,employee,sky,worker,energy,alternative,environment,repair,innovation,roof,photovoltaic,electrical,solar,system,engineering,panel,technology,sunset,service,morning,person,maintenance,outdoor,engineer,solar cell,building,Adobe Stock,team,cell,power,people,check,industrial,sun,saving,green,solar energy,installation,preventive maintenance
ABB EB ANNA HR 11;;Photos;teamwork,Employer Branding,Headquarters,indoor,office,bright,Woman,anna,Product manager,Sitting,Global Campaign,Employer Branding campaign,ABB People,Looking,HR,genuine,laptop
ABB Formula E 2024 Season 10 - 9;;Photos;race,Formula E,season 10,fe,championship,car,s10,ABB Formula E,motorsport,racing,sport,2024,race car,electric car
AdobeStock_374747543;Aerial view of modern industrial sewage treatment plant at sunset.;Photos;aerial,pollution,plant,tank,station,environment,recycling,purity,sewer,purification,recycled,separation,liquid,construction,factory,recycle,waste,biology,sewage,water,pool,sludge,sewerage,round,filtration,system,environmental,technology,sedimentation,dirty,storage,sewage treatment,reservoir,facility,ecology,clean,conservation,ecosystem,sanitary,wastewater,Adobe Stock,flow,purified,industrial,circle,treatment,industry
Paper making process - dry end;Paper making machine and reels, paper making process;Photos;Pulp and paper,reels,paper,paper mill,making,Process Automation,PAPI,paper process,PA
AdobeStock_170541054;Flooding houses with rising water. 3d rendering.;Photos,3D;severe,horizontal,structure,evacuation,residential,nature,destruction,trees,home,rain,house,rising,disaster,water,car,river,storm,3d rendering,view,timber,limit,cloud,hurricane,weather,damage,outdoor,exterior,Adobe Stock,flood,day,damaged,AdobeStock,green,scene,natural,global warming
AdobeStock_377393540;Family spending time together using tablet computer at home.;Photos;happiness,man,learning,playing,boy,reading,woman,wireless,indoor,home,modern,looking,computer,education,ipad,internet,digital,mother,touch,together,cyberspace,lifestyle,technology,room,leisure,father,relaxing,family,smile,game,online,smiling,Adobe Stock,people,child,interior,living room,children,female,tablet,laptop,sitting,fun
Remote control - autonomous Vessel;ABB Keppel Offshore & Marine Autonomous Tug;Photos;vessel,scycrapers,Singapore,bay,marine,tug,marine and ports,tugboats
Erich Labuda;Division President, Motion services;Photos;Erich Labuda,business portrait,management,MO,Motion,portrait,functional imagery,business,official portrait
B&R Printing Industry LinkedIn Images 6;;Photos;linkedin quote,Printing Industry,linkedin,printing,social media,Sustainability,B&R Social Media
Digital Powertrain Fan Configuration 2 NEMA Motor;Digital Powertrain fan configuration 2 featuring NEMA motor;Photos;Condition Monitoring,Baldor-Reliance,fan,drive,digital Powertrain,NEMA,Motor,Motion,Smart Sensor
AdobeStock_627790467;;Photos,3D;furniture,lighting,apartment,horizontal,design,ai,decor,indoor,home,modern,shower,house,sink,minimal,basin,ceramic,marble,wall,tap,renovation,room,stylish,bathtub,clean,bathroom,mirror,tiled,luxury,Adobe Stock,floor,detail,rendering,comfort,interior,photography,contemporary,hotel
ABB EB ANNA HR 3;;Photos;teamwork,Employer Branding,screens,shirt,office,bright,computer,anna,Product manager,working,Global Campaign,Employer Branding campaign,ABB People,HR,day,Group of people
EL Service - People image - 10;"ABB Electrification Service.
Collection of photos, images and graphics from Electrification Service that can be used for internal and/or external purposes.";Photos;electrification service,ELSE,EL,Australia,electrification,service,EL service,people
ABB Motors and Generators factory, Helsinki;Motors and Generators factory, Helsinki, Finland;Photos;Finland,Helsinki factory,motor factory,employee,indoor,factory,motors and generators,helsinki
Blower aeration;"Pump type: Blower aeration
Typical application: Aeration using blowers for aeration
Typical segment: W&WW
Typical power range: 2
Actual motor: 7

Additional info:
The blower aeration bring oxygen into the wastewater through  nozzles at the bottom of the aeration tank to enable the microbes to process the water efficiently. 
The process is using blowers to create the air pressure needed for the application.";Photos,3D;pump application,water and wastewater,W&WW,blower aeration,3D image,pump
ABB MACHsense-R;ABB MACHsense-R;Photos;MACHsense,ABB,process automation,machsense-r,PAMP,marine remote condition monitoring,device,PA
Morten Wierod portrait - ABB Executive Committee;President and Chief Executive Officer, Member of the Group Executive Committee of ABB Ltd, Switzerland;Photos;EC member,Business Portrait,EC,portrait,functional imagery,president,Executive Committee,motion business,official,official portrait
Morten Wierod portrait - ABB Executive Committee;President and Chief Executive Officer, Member of the Group Executive Committee of ABB Ltd, Switzerland;Photos;EC member,Business Portrait,EC,portrait,functional imagery,president,Executive Committee,motion business,official,official portrait
Employer Branding_Research&Development_1;"Images to be used for Employer Branding and HR Marketing purposes (digital use; batch 3)";Photos;Employer Branding,marketing,Employer Branding campaign,HR,marketing materials,Research and Development,ABB employer branding
B&R - Adaptive manufacturing technologies - 3;;Photos;codian robot,Codian,robot,adaptive manufacturing,technologies,pick & place,technology,manufacturing,B&R,delta robot
Switchgear from 1902;Switchgear, Brown Boveri (BBC);Photos;Brown Boveri,1902,BBC,historical image,switchgear
Industry - Land transportation 3;Aerial view of highway and overpass in city.;Photos;directional sign,Shutterstock,built structure,street,structure,bridge,construction industry,driving,transportation,transport,perspective,design,cityscape,freeway,traffic circle,intersection,mode of transport,road,elevated,financial district,modern,route,shanghai,bypass,urban,bridge - built structure,crossroad,construction,road intersection,thoroughfare,high angle view,junction,expressway,curve,concrete,highway,interchange,city street,engineering,land vehicle,overpass,connection,multiple lane highway,land transportation,way,downtown district,architecture,building,motorway,industry,elevated road,city,highways
B&R Battery - Statement Ronny;;Photos;Battery Industry,energy,Battery production,linkedin,battery,Social Media,B&R Social Media,sustainability
All hands together, racial equality in team;Unit and concord in multiethnic team, all hands together.;Photos;teamwork,rights,race,racial discrimination,united,population,social,multiethnic,hispanic,diversity,racism,tolerance,ethnic,discrimination,ethnicity,peace,unity,solidarity,equality,White,diverse,color,black,Team,background,mixed race,Horizontal,People,together,Caucasian,teenagers,movement,hands,equal,students,friendship,Togetherness,colorful,union,difference,racial,human,close up,arms,support,Symbol,african,friends,multicultural,asian
AdobeStock_208100616;Stressed woman listening to personal life coach during therapy;Photos;stress,therapist,health,psychotherapy,Conversation,consultation,talk,analyze,mental,personal,interpersonal,coaching,counseling,office,psychologist,Woman,trouble,Service,burnout,behavior,help,balance,psychological,life,People,therapy,relief,professional,problem,session,coach,advisor,psychotherapist,clinic,crisis,holistic,well-being,patient,psychiatrist,listen,concept,Adobe Stock,support,work,client,wellness,treatment,corporate,unrecognizable,counselor
AdobeStock_166521449;;Photos;sea,aerial,tourism,transportation,ocean,transport,aerial view,trip,blue,boat,top,travel,white,water,floating,sport,yacht,adobe stock,wave,speed,sunny,nautical,top view,outdoor,fast,AdobeStock,photo,sun reflection
AdobeStock_469300770;Mockup image of a woman holding digital tablet with blank white desktop screen in cafe;Photos;display,using,screen,copy space,woman,wireless,office,home,looking,blank,pad,computer,communication,white,pc,background,internet,over,table,digital,touch,touchscreen,lifestyle,desktop,technology,mockup,portable,person,closeup,hand,watching,business,space,device,Adobe Stock,people,mock,holding,AdobeStock,female,gadget,tablet,empty,sitting,shoulder
Industry - Cement and glass 1;Cement production factory on mining quarry. Conveyor belt of heavy machinery loads stones and gravel;Photos;machinery,pollution,smog,crusher,dust,landscape,structure,plant,cement and glass,site,manufacture,cement,macamad,rock,deposits,facilities,workplace,environment,stone,process,material,Concrete,belt,moving,factory,Conveyor,background,Construction,mine,Large,Process Automation,technology,worksite,extract,limestone,Energy,dirty,PAPI,excavation,resources,gravel,Adobe Stock,mineral,work,Business,industrial,Equipment,PA,quarry,raw,Production,heavy,industry,line,Grey
AdobeStock_134488767;Green city of the future. City of the future. Harmony of city and nature. Sunny day in the big city.;Photos;the urban jungle,living,environmental conditions,future,intelligence,cityscape,blue,sky,next generation,environment,modern,peace,urban,sustainable,travel,the 21st century,park,the banking system,generations of health,eco,downtown,urban environment,grass,spring,wonderful city,clean air,architecture,business,skyline,Adobe Stock,the bank,green planet,green,skyscraper,city,solar energy,traffic
Fuses and measuring part of thyristor bridge;1965 - (black&white);Photos;1965,fuses,measuring part,technical museum,historical image,thyristor bridge
David Meline portrait - ABB Board of Directors;"Non-executive member of the Board of Directors, ABB Ltd, since 2016.
";Photos;BoD,Board of Directors,portrait,functional imagery,official
David Meline portrait - ABB Board of Directors;"Non-executive member of the Board of Directors, ABB Ltd, since 2016.
";Photos;BoD,Board of Directors,portrait,functional imagery,official
Carolina Granat - Portrait;Chief Human Resources Officer. Member of the Group Executive Committee of ABB Ltd, Switzerland.;Photos;Business Portrait,portrait,functional imagery,executive committe,official portrait
